,Tokens,Occurences
113,2015,"[('1Amy.txt', 2), ('2Ben.txt', 2)]"
114,effici,"[('2Ben.txt', 1), ('3Carrie.txt', 2)]"
115,worldwid,"[('3Carrie.txt', 1)]"
116,matter,"[('1Amy.txt', 1)]"
117,manag,"[('1Amy.txt', 2), ('2Ben.txt', 6), ('3Carrie.txt', 1)]"
118,familiar,"[('1Amy.txt', 1)]"
119,carri,"[('3Carrie.txt', 1)]"
120,10hr,"[('3Carrie.txt', 1)]"
121,1,"[('1Amy.txt', 1), ('3Carrie.txt', 3)]"
122,parson,"[('3Carrie.txt', 1)]"
123,3,"[('1Amy.txt', 1), ('3Carrie.txt', 7)]"
124,item,"[('2Ben.txt', 1)]"
125,auditor,"[('1Amy.txt', 2), ('2Ben.txt', 1)]"
126,2012,"[('1Amy.txt', 1), ('2Ben.txt', 2)]"
127,diploma,"[('1Amy.txt', 1), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
128,feb,"[('3Carrie.txt', 1)]"
129,reuter,"[('1Amy.txt', 1)]"
130,peer,"[('1Amy.txt', 1)]"
131,intellisoft,"[('3Carrie.txt', 1)]"
132,world,"[('1Amy.txt', 1)]"
133,johor,"[('2Ben.txt', 1)]"
134,keep,"[('1Amy.txt', 1), ('2Ben.txt', 1)]"
135,dublin,"[('1Amy.txt', 1), ('3Carrie.txt', 1)]"
136,shipmanag,"[('2Ben.txt', 1)]"
137,replac,"[('3Carrie.txt', 1)]"
138,test,"[('2Ben.txt', 2)]"
139,copier,"[('3Carrie.txt', 1)]"
140,high,"[('1Amy.txt', 2), ('2Ben.txt', 1)]"
141,visit,"[('1Amy.txt', 3), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
142,differ,"[('3Carrie.txt', 1)]"
143,2014,"[('1Amy.txt', 3), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
144,team,"[('1Amy.txt', 2), ('2Ben.txt', 1), ('3Carrie.txt', 6)]"
145,year,"[('1Amy.txt', 2)]"
146,model,"[('1Amy.txt', 1)]"
147,evalu,"[('1Amy.txt', 4), ('2Ben.txt', 2), ('3Carrie.txt', 2)]"
148,welfar,"[('1Amy.txt', 1)]"
149,weekli,"[('1Amy.txt', 1), ('3Carrie.txt', 1)]"
150,fin,"[('3Carrie.txt', 1)]"
151,cantones,"[('1Amy.txt', 1)]"
152,purpos,"[('2Ben.txt', 1)]"
153,open,"[('2Ben.txt', 3)]"
154,downtim,"[('3Carrie.txt', 1)]"
155,sharepoint,"[('3Carrie.txt', 1)]"
156,myob,"[('1Amy.txt', 1)]"
157,end,"[('1Amy.txt', 1)]"
158,accord,"[('2Ben.txt', 1), ('3Carrie.txt', 1)]"
159,packag,"[('1Amy.txt', 1)]"
160,commerc,"[('3Carrie.txt', 1)]"
161,price,"[('1Amy.txt', 3), ('3Carrie.txt', 1)]"
162,break,"[('1Amy.txt', 1), ('2Ben.txt', 1)]"
163,valuer,"[('1Amy.txt', 1)]"
